Country Name,Country Code,,Pop,Electricity  
Sudan,SDN,"Population, total",42813238,53.82707214
Suriname,SUR,"Population, total",581363,97.88735199
Sweden,SWE,"Population, total",10278887,100
Switzerland,CHE,"Population, total",8575280,100
Syrian Arab Republic,SYR,"Population, total",17070135,89.32488251
Tajikistan,TJK,"Population, total",9321018,99.63539124
Tanzania,TZA,"Population, total",58005463,37.7
Thailand,THA,"Population, total",69625582,99.9
Timor-Leste,TLS,"Population, total",1293119,94.71617889
Togo,TGO,"Population, total",8082366,52.44109726
Tonga,TON,"Population, total",104494,98.4
Trinidad and Tobago,TTO,"Population, total",1394973,100
Tunisia,TUN,"Population, total",11694719,100
Turkey,TUR,"Population, total",83429615,100
Turkmenistan,TKM,"Population, total",5942089,99.9
Turks and Caicos Islands,TCA,"Population, total",38191,100
Tuvalu,TUV,"Population, total",11646,100
Uganda,UGA,"Population, total",44269594,41.3
Ukraine,UKR,"Population, total",44386203,100
United Arab Emirates,ARE,"Population, total",9770529,100
United Kingdom,GBR,"Population, total",66836327,100
United States,USA,"Population, total",328239523,100
Uruguay,URY,"Population, total",3461734,99.9
Uzbekistan,UZB,"Population, total",33580350,100
Vanuatu,VUT,"Population, total",299882,64.66623688
"Venezuela, RB",VEN,"Population, total",28515829,100
Vietnam,VNM,"Population, total",96462106,99.4
Virgin Islands (U.S.),VIR,"Population, total",106669,100
West Bank and Gaza,PSE,"Population, total",4685306,100
"Yemen, Rep.",YEM,"Population, total",29161922,72.75170135
Zambia,ZMB,"Population, total",17861030,43
Zimbabwe,ZWE,"Population, total",14645468,41.08910751
,,,,41.08910751
